symbol,status,entry_price,stop_loss,take_profit,units,entry_timestamp,exit_timestamp,exit_reason,pnl
DUSKUSDT,OPEN,0.06343,0.06285707055647237,0.07488858887055262,8727078.100950945,360,,,0.0
PHBUSDT,OPEN,0.5655,0.5411632338633465,1.0522353227330696,205450.46831302397,428,,,0.0
ROSEUSDT,OPEN,0.02475,0.024210952772633316,0.03553094454733371,9275625.114381239,438,,,0.0
ZRCUSDT,OPEN,0.02527,0.025143809220415186,0.027793815591696303,39622546.24664879,434,,,0.0
SIGNUSDT,OPEN,0.07555,0.07312512806601626,0.12404743867967494,2061964.563953551,426,,,0.0
DEGENUSDT,OPEN,0.003376,0.003194917595932389,0.006997648081352219,27611738.565902546,437,,,0.0
DOTUSDT,OPEN,4.009,3.8372534518472183,7.4439309630556405,29112.66662286632,364,,,0.0
MINAUSDT,OPEN,0.1865,0.18031448064200473,0.31021038715990545,808339.5606121748,422,,,0.0
STOUSDT,OPEN,0.08208,0.08008715321063932,0.12193693578721361,2508973.6083545266,428,,,0.0
APTUSDT,OPEN,4.3201,4.276604919981192,5.190001600376153,114955.53055283397,438,,,0.0
GUNUSDT,OPEN,0.02205,0.02179350180808802,0.027179963838239604,19493314.797773693,431,,,0.0
PONKEUSDT,OPEN,0.10212,0.09651056447601943,0.21430871047961153,891355.2849702587,420,,,0.0
PROMUSDT,OPEN,9.151,9.080960478725931,10.551790425481375,71388.2663537163,415,,,0.0
PTBUSDT,OPEN,0.05782,0.04190712141388653,0.3760775717222695,314210.90615014796,332,,,0.0
CKBUSDT,OPEN,0.004924,0.004853325283765864,0.006337494324682737,70746658.30189684,440,,,0.0
FORMUSDT,OPEN,4.0184,3.716552216099972,10.05535567800055,16564.640413778914,405,,,0.0
SAPIENUSDT,OPEN,0.2949,0.20807962452151108,2.0313075095697783,57590.16788908989,439,,,0.0
BROCCOLIF3BUSDT,OPEN,0.010851,0.010207837546027054,0.023714249079458904,7774085.643703209,437,,,0.0
MOODENGUSDT,OPEN,0.13481,0.1335103481183234,0.16080303763353213,3847184.0578954034,16,,,0.0
ARUSDT,OPEN,6.721,6.515101352678116,10.83897294643769,24283.792365976184,436,,,0.0
SLPUSDT,OPEN,0.001745,0.0017170130413985787,0.002304739172028427,178654639.51292184,431,,,0.0
AIOUSDT,OPEN,0.07806,0.06984474322853274,0.2423651354293454,608623.703323029,440,,,0.0
DOGSUSDT,OPEN,0.0001374,0.00013418309719037534,0.00020173805619249342,1554290041.0421073,418,,,0.0
WUSDT,OPEN,0.08004,0.07818480803191832,0.11714383936163353,2695138.8783610077,434,,,0.0
QNTUSDT,OPEN,102.9,101.93745776656276,122.15084466874495,5194.577262490554,354,,,0.0
B2USDT,OPEN,0.411,0.39764486356718637,0.6781027286562722,374387.7889345245,439,,,0.0
ETHFIUSDT,OPEN,1.1904,1.1523363688301131,1.951672623397735,131358.98615883093,422,,,0.0
MEMEUSDT,OPEN,0.00261,0.0025460432922214705,0.003889134155570587,78177882.72207671,400,,,0.0
BLURUSDT,OPEN,0.07787,0.07620908603343861,0.11108827933122772,3010390.7250244697,434,,,0.0
IOUSDT,OPEN,0.5375,0.5251801763732297,0.7838964725354062,405849.9659958825,428,,,0.0
SCRUSDT,OPEN,0.3362,0.3319602327990668,0.4209953440186644,1179310.0335554848,428,,,0.0
AI16ZUSDT,OPEN,0.0954,0.09302984851448814,0.14280302971023706,2109569.801999474,364,,,0.0
HOTUSDT,OPEN,0.000949,0.0009322216452554091,0.0012845670948918172,298002997.08241296,420,,,0.0
SUNUSDT,OPEN,0.022197,0.02205628149812158,0.025011370037568446,35531930.29527768,32,,,0.0
YALAUSDT,OPEN,0.1378,0.12071573000313454,0.4794853999373093,292666.88017207495,430,,,0.0
NEWTUSDT,OPEN,0.2697,0.26200044159891583,0.4236911680216832,649387.8920765065,427,,,0.0
BELUSDT,OPEN,0.2452,0.24009340033296897,0.3473319933406206,979125.1176944113,420,,,0.0
DODOXUSDT,OPEN,0.045348,0.044618119468636,0.05994561062727993,6850436.181187116,407,,,0.0
DYMUSDT,OPEN,0.2112,0.20892857183311703,0.25662856333765943,2201258.2536833575,415,,,0.0
LUMIAUSDT,OPEN,0.3154,0.30784392470231337,0.466521505953733,661719.1866167333,440,,,0.0
SUSHIUSDT,OPEN,0.788,0.78519919165225,0.8440161669549997,1785198.906600206,16,,,0.0
A2ZUSDT,OPEN,0.006036,0.005885462932830246,0.009046741343395066,33214410.86906352,416,,,0.0
CARVUSDT,OPEN,0.2985,0.29518408541932506,0.36481829161349855,1507879.6146136823,412,,,0.0
PARTIUSDT,OPEN,0.202,0.19110037387165343,0.4199925225669316,458731.33088450955,374,,,0.0
WIFUSDT,OPEN,0.828,0.8117898525405366,1.1522029491892671,308448.7671998959,356,,,0.0
1000WHYUSDT,OPEN,2.89e-05,2.8384029192615367e-05,3.921941614769267e-05,9690470717.411573,438,,,0.0
ATOMUSDT,OPEN,4.499,4.454956761620876,5.379864767582476,113524.80389748006,440,,,0.0
FLMUSDT,OPEN,0.0283,0.027955529815136756,0.035189403697264844,14515044.319394564,434,,,0.0
DEGOUSDT,OPEN,1.2825,1.2647861899393558,1.6367762012128841,282265.6437481391,200,,,0.0
XNYUSDT,OPEN,0.009331,0.007868361303951323,0.03858377392097355,3418479.2276503514,418,,,0.0
NAORISUSDT,OPEN,0.03267,0.025839898338071328,0.1692720332385734,732053.5253333419,431,,,0.0
TURBOUSDT,OPEN,0.003956,0.003872496742365906,0.005626065152681883,59877903.46946314,405,,,0.0
TWTUSDT,OPEN,0.7337,0.7267135716500948,0.8734285669981052,715673.2667369018,440,,,0.0
KOMAUSDT,OPEN,0.02285,0.02237812492070462,0.03228750158590758,10596024.709476452,420,,,0.0
XMRUSDT,OPEN,272.72,269.47610885365344,337.5978229269317,1541.358749238927,366,,,0.0
CROSSUSDT,OPEN,0.225,0.21654214473014388,0.39415710539712245,591166.4175455978,440,,,0.0
SKATEUSDT,OPEN,0.04337,0.04241116834674174,0.0625466330651652,5214679.743841598,408,,,0.0
PLUMEUSDT,OPEN,0.09451,0.08345141792327095,0.315681641534581,452137.5313135008,425,,,0.0
SOMIUSDT,OPEN,1.7407,0.8337793381708453,19.879113236583095,5513.161415812906,412,,,0.0
BASUSDT,OPEN,0.023131,0.02127535291791664,0.06024394164166719,2694477.8715069215,432,,,0.0
AIUSDT,OPEN,0.1318,0.12312335331182925,0.3053329337634151,576259.490526071,428,,,0.0
RIFUSDT,OPEN,0.05707,0.056177062761687234,0.07492874476625538,5599497.686363319,387,,,0.0
BIGTIMEUSDT,OPEN,0.0524,0.05225415946805681,0.055316810638863845,34284021.96138178,16,,,0.0
