symbol,status,entry_price,stop_loss,take_profit,units,entry_timestamp,exit_timestamp,exit_reason,pnl
1000SATSUSDT,OPEN,4.015e-05,3.5992908530387055e-05,0.0001232918293922,24055280.17147785,192,,,43.44167101447359
XPLUSDT,OPEN,1.2812,0.7867703270872213,11.169793458255572,202.2532333281721,183,,,0.4715089177933219
A2ZUSDT,OPEN,0.005549,0.0052074144761999,0.0123807104760017,292752.4529948313,188,,,-10.050016059840695
SOLVUSDT,OPEN,0.04449,0.0415977839397159,0.1023343212056806,34575.56348337941,192,,,40.567716088429954
AWEUSDT,OPEN,0.11725,0.0964319518054558,0.533610963890883,4803.524281695501,192,,,-0.3379279332172784
HUMAUSDT,OPEN,0.03512,0.0322016878387761,0.0934862432244769,34266.38223584115,192,,,3.389904661827364
DEGOUSDT,OPEN,1.323,1.2474752432884515,2.8334951342309647,1324.0691443989697,192,,,-1.0510460868239018
SNXUSDT,OPEN,0.817,0.7307693122052994,2.541613755894012,1159.6799533604749,151,,,551.4391826864487
ALPINEUSDT,OPEN,2.1247,2.033191657928745,3.9548668414251,1092.7965444082984,188,,,-1.3931188907425869
SPKUSDT,OPEN,0.055332,0.0500255947837242,0.1614601043255155,18845.14957381705,192,,,-0.6256438897310671
ZROUSDT,OPEN,2.314,2.166828259188584,5.257434816228328,679.478271091041,192,,,-0.9433876315828014
STGUSDT,OPEN,0.1994,0.186645661256929,0.4544867748614188,7840.469193616726,192,,,-0.938033734324305
OGUSDT,OPEN,17.852,16.962171254426316,35.64857491147369,112.38117502658189,192,,,-1.203737241944724
QUICKUSDT,OPEN,0.0239,0.0213556625125391,0.0747867497492165,39302.96216316691,192,,,-0.5636044774198135
BIOUSDT,OPEN,0.15199,0.1367738800461292,0.456312399077414,6571.977633139111,190,,,-0.599324928276488
DASHUSDT,OPEN,30.72,24.04895983871229,164.14080322575413,14.990166088386593,188,,,31.352951705154563
STRKUSDT,OPEN,0.1553,0.1340281018668978,0.580737962662043,4701.037931560302,188,,,-0.4380427144627889
PROVEUSDT,OPEN,0.763,0.6637913106646037,2.7471737867079256,1007.9762233520546,190,,,-3.08218969576596
SCRTUSDT,OPEN,0.1897,0.1586954975634702,0.8097900487305955,3225.3380038822725,188,,,5.761034235774389
ZENUSDT,OPEN,9.56,8.055735621142253,39.64528757715496,66.47767600262812,192,,,34.054120219810216
DEXEUSDT,OPEN,11.34,9.69073881741235,44.32522365175298,60.63321022514004,192,,,64.58625299897832
SOMIUSDT,OPEN,1.0037,0.7640297829870317,5.797104340259367,417.2399943819015,152,,,-0.2512702694166687
RSRUSDT,OPEN,0.006779,0.0057983615499671,0.0263917690006571,101974.38209428714,192,,,-0.4147706017303034
XVGUSDT,OPEN,0.006388,0.0052038860117387,0.0300702797652257,84451.32900324638,192,,,-0.3236850538036427
PUMPUSDT,OPEN,0.006949,0.0059531484922617,0.0268660301547645,100416.57739427403,189,,,-0.4186768777876861
ZECUSDT,OPEN,122.0,81.21047297095119,937.7905405809764,2.4516096969887307,192,,,-0.179457829819575
REDUSDT,OPEN,0.575,0.44301610130201,3.214677973959799,757.668177607205,191,,,-0.2613955212744857
NILUSDT,OPEN,0.3444,0.2886090708660306,1.4602185826793863,1792.4060694503326,191,,,-0.3703827901912166
C98USDT,OPEN,0.0711,0.0472868520894608,0.547362958210782,4199.360805874074,191,,,-31.67435077603411
DUSKUSDT,OPEN,0.0637,0.0555722120503562,0.2262557589928752,12303.470589975585,191,,,-0.4702386459488668
CAKEUSDT,OPEN,3.522,2.670246404869313,20.557071902613735,117.40484639182148,191,,,-0.24809992139519713
COOKIEUSDT,OPEN,0.1298,0.11276477324718041,0.47050453505639167,5870.188959090227,191,,,-0.4571703161339469
FORMUSDT,OPEN,1.2682,1.0663834697110948,5.304530605778105,495.4995502937623,183,,,-0.3770355178095296
CELOUSDT,OPEN,0.3181,0.26662737990144764,1.3475524019710472,1942.7804492667053,191,,,-0.3707990765470433
BROCCOLI714USDT,OPEN,0.03422,0.027685862931111235,0.1649027413777753,15304.23970995861,191,,,-0.31422664972487013
HOOKUSDT,OPEN,0.1294,0.09866032225927888,0.7441935548144221,3253.1245396736604,191,,,-0.25257258926026294
GUNUSDT,OPEN,0.02962,0.025359497493169812,0.11483005013660377,23471.409731524825,184,,,-0.41713389374865917
ETHFIUSDT,OPEN,1.7444,1.4994631630180748,6.643136739638503,408.2685202935784,188,,,-0.42731016408007083
